Name,Dark1,Light1,Dark2,Light2,Accent1,Accent2,Accent3,Accent4,Accent5,Accent6,Hyperlink,Followed,Category,Favorite,Tags,TimesUsed,LastUsed
Atlanta Hawks,#000000,#FFFFFF,#C8102E,#C4D600,#C8102E,#C4D600,#000000,#FFFFFF,#808080,#DC143C,#C8102E,#C4D600,Custom,FALSE,,0,
Gators,#000000,#FFFFFF,#2D2D2D,#F0F0F0,#0021A5,#FA4616,#003DFF,#FF783C,#001466,#802000,#0021A5,#FA4616,Custom,FALSE,,0,
Seminoles,#782F40,#FFFFFF,#662633,#EEE2B7,#782F40,#CEB888,#FFD700,#A67C52,#FFFFFF,#000000,#782F40,#A67C52,Custom,FALSE,,0,
Chicago Bulls,#000000,#FFFFFF,#3C0000,#F0F0F0,#CE1141,#000000,#FFFFFF,#8B0000,#D4AF37,#DCDCDC,#CE1141,#8B0000,Custom,FALSE,,0,
Georgia Bulldogs,#000000,#FFFFFF,#BA0C2F,#F5F5F5,#BA0C2F,#000000,#FFFFFF,#A9A9A9,#FF0000,#8B0000,#BA0C2F,#000000,Custom,FALSE,,0,
AtlantaBraves,#0C2340,#FFFFFF,#CE1126,#F5F5F5,#0C2340,#CE1126,#FFC325,#000080,#B22222,#FFD700,#CE1126,#0C2340,Custom,FALSE,,0,
Kansas City Chiefs,#E31837,#FFFFFF,#FFB81C,#F5F5F5,#E31837,#FFB81C,#FFFFFF,#8B0000,#FFD700,#B22222,#E31837,#FFB81C,Custom,FALSE,,0,
Green Bay Packers,#203731,#FFFFFF,#10231F,#F0F0F0,#203731,#FFB612,#006400,#FFFFFF,#808000,#FFDAB9,#203731,#006400,Custom,FALSE,,0,
Dallas Cowboys,#0A184A,#FFFFFF,#003087,#E0E0E0,#0033A0,#C0C0C0,#000000,#FFFFFF,#787878,#646464,#0033A0,#C0C0C0,Custom,FALSE,,0,
New York Yankees,#0F1F40,#FFFFFF,#07142C,#E6E6E6,#182B54,#C0C0C0,#FFFFFF,#404040,#B4B4B4,#000000,#182B54,#404040,Custom,FALSE,,0,
Los Angeles Lakers,#311934,#FFFFFF,#260F2B,#E6E1E6,#552582,#FFD700,#FFDF00,#9682B4,#4B0082,#E6E6B4,#552582,#FFD700,Custom,FALSE,,0,
Boston Celtics,#00331B,#FFFFFF,#002814,#E6F0E6,#008000,#FFFFFF,#006400,#90EE90,#696969,#C0C0C0,#008000,#006400,Custom,FALSE,,0,
Pittsburgh Steelers,#000000,#FFFFFF,#232323,#DCDCDC,#FFCC00,#FF0000,#0099CC,#009933,#696969,#A0A0A0,#FFCC00,#0099CC,Custom,FALSE,,0,
Miami Dolphins,#003333,#FFFFFF,#005A5A,#E6F5F5,#009999,#FF6633,#FFFFFF,#80C8C8,#E6E6E6,#005A5A,#009999,#FF6633,Custom,FALSE,,0,
Toronto Maple Leafs,#00205B,#FFFFFF,#00143C,#E6E6FF,#002D72,#FFFFFF,#C8DCFF,#6482B4,#324B78,#B4C8E6,#002D72,#6482B4,Custom,FALSE,,0,
One Piece,#000000,#FFFFFF,#2D2D2D,#F0F0F0,#FF2C2C,#FFD700,#0099FF,#3CB371,#FF8C00,#800080,#0066CC,#FF8C00,Custom,FALSE,,0,
Luffy,#000000,#FFFFFF,#2C2C2C,#F5F5F5,#FF2C2C,#FFD700,#C81E1E,#FFB400,#B40000,#644B00,#FF2C2C,#B40000,Custom,FALSE,,0,
Hunter X Hunter,#191919,#F0F0F0,#373737,#D2D2D2,#FFDF00,#0080FF,#505050,#C8C8C8,#FF8C00,#004080,#0080FF,#FF8C00,Custom,FALSE,,0,
Naruto,#1E1E1E,#FFFAF0,#3C3C3C,#F5EBDC,#FF6600,#0066CC,#000000,#FFCC99,#FFFF66,#996633,#0066CC,#FF6600,Custom,FALSE,,0,
Attack On Titan,#2D2821,#F0E6DC,#464137,#E6DCD2,#808080,#CC5500,#000000,#C8C8C8,#A0522D,#696969,#808080,#CC5500,Custom,FALSE,,0,
My Hero Academia,#282828,#FFFFFF,#464646,#F0F0F0,#0066CC,#FF0000,#FFFF00,#FFA500,#003366,#800000,#0066CC,#FF0000,Custom,FALSE,,0,
Demon Slayer,#0F1E19,#FFFFFF,#2D5A4B,#D2F0DC,#006633,#00CC66,#FF4500,#FFD700,#00BFFF,#808080,#006633,#FF4500,Custom,FALSE,,0,
Full metal Alchemist,#28281E,#FFFFF0,#50503C,#E6E6C8,#CC9900,#FF3333,#663300,#E6CC99,#800000,#C0C0C0,#CC9900,#FF3333,Custom,FALSE,,0,
Tokyo Ghoul,#141414,#FAFAFA,#2D2D2D,#E1E1E1,#FF0000,#3C3C3C,#696969,#A9A9A9,#000000,#FFFFFF,#FF0000,#3C3C3C,Custom,FALSE,,0,
Death Note,#0A0A0A,#F5F5F5,#282828,#D2D2D2,#FF0000,#FFFFFF,#000000,#505050,#969696,#C80000,#FF0000,#969696,Custom,FALSE,,0,
Dragon BallZ,#1E1E1E,#FFFFF0,#464646,#F0F0D2,#FF6600,#003399,#FFFF00,#CC5500,#0066CC,#800000,#FF6600,#003399,Custom,FALSE,,0,
Light Mode,#212121,#FFFFFF,#505050,#F0F0F0,#0078D7,#0099BC,#3CB371,#FFCC00,#FF8000,#FF6347,#0066CC,#660099,Custom,FALSE,,0,
Bone,#464646,#F5F5EB,#696969,#FFFAF0,#DED2AA,#C8B496,#B4A082,#A08C6E,#8C785A,#786446,#785A3C,#968264,Custom,FALSE,,0,
Dark Mode,#E6E6E6,#222222,#C8C8C8,#333333,#0096FF,#00C88C,#FF8C00,#C864FF,#FF0064,#8000FF,#0078FF,#AA55FF,Custom,FALSE,,0,
Dark Knight Mode,#0F0F0F,#282828,#191919,#3C3C3C,#FFD700,#696969,#A9A9A9,#FFFFFF,#800000,#000000,#FFD700,#A9A9A9,Custom,FALSE,,0,
Subtle Earth Tones,#3C3228,#F5F0E6,#5A4B3C,#E6DCD2,#B9AA91,#9B8C73,#7D6E5A,#AA967D,#917D64,#C8B9A5,#7D6E5A,#B9AA91,Custom,FALSE,,0,
Desert Mirage,#472D1B,#FCF4E7,#6B4824,#F0E0C8,#E6B681,#BD9E78,#FFD580,#D4AF37,#C68642,#B36226,#FFAC59,#806040,Custom,FALSE,,0,
Forest Canopy,#112414,#F0FFF0,#225533,#C8E8C8,#336600,#99CC00,#669900,#CCFF99,#006633,#009966,#228B22,#90EE90,Custom,FALSE,,0,
Forest Night,#0A1E0A,#F0FAF0,#1E3C1E,#C8DCC8,#228B22,#3CB371,#6B8E23,#556B2F,#90EE90,#006400,#3CB371,#6B8E23,Custom,FALSE,,0,
Ocean Abyss,#001428,#E0FFFF,#003C5A,#C8E6FF,#006994,#00BFFF,#4682B4,#40E0D0,#B0E0E6,#191970,#00BFFF,#40E0D0,Custom,FALSE,,0,
SunsetDune,#381D11,#FDF5E6,#704214,#FFE4C4,#FF8C00,#FF6347,#F08080,#D2691E,#FFA07A,#E9967A,#FF4500,#8B4513,Custom,FALSE,,0,
Sunset,#321428,#FFF0E6,#64323C,#FFD2B4,#FF5E4D,#FFA500,#FFC371,#E67850,#A03C5A,#FF8080,#FF4500,#8B0000,Custom,FALSE,,0,
Spicy Sunset,#461E00,#FFF5EB,#782800,#FFEBD2,#FF8C00,#FF5E4D,#FFB74C,#C66C3A,#FFCC99,#994C00,#C66C3A,#FFB74C,Custom,FALSE,,0,
Solar Flare,#191970,#FFFACD,#FF4500,#FFD700,#FF8C00,#FF6347,#FF0000,#FFA500,#FFD700,#FFEFD5,#FF4500,#B8860B,Custom,FALSE,,0,
Aurora Borealis,#0A141E,#F5FFFF,#004080,#C0E0FF,#00FFC4,#99FFFF,#66FFFF,#FF99FF,#8000FF,#0099CC,#00CCFF,#CCFFFF,Custom,FALSE,,0,
Twilight Sky,#2D233C,#E6DCEB,#4B3C5A,#C8BED2,#FF5E4D,#9966CC,#6699CC,#FFB380,#704291,#CC99FF,#9966CC,#FF5E4D,Custom,FALSE,,0,
Stormy Sky,#1E2832,#D2DCE6,#3C4B5A,#B4BEC8,#4682B4,#696969,#A9A9A9,#708090,#000080,#778899,#4682B4,#708090,Custom,FALSE,,0,
Mountain Peak,#282828,#F5FAFF,#464646,#C8DCE6,#696969,#B0C4DE,#003366,#D2B48C,#778899,#FFFAFA,#003366,#B0C4DE,Custom,FALSE,,0,
Foggy Morning,#505050,#F5F5F5,#828282,#D2D2D2,#B4B4B4,#969696,#87CEEB,#C8C8D2,#AAAAB4,#DCDCDC,#87CEEB,#969696,Nature,TRUE,,0,
Retro Arcade,#0A0A0A,#F0F0F0,#3C3C3C,#C8C8C8,#FF0000,#FFFF00,#0000FF,#00FF00,#FFA500,#FFC0CB,#0000FF,#FF0000,Custom,FALSE,,0,
Fantasy RPG,#281E19,#F5F0E6,#5A4B3C,#E6DCD2,#78966E,#B43232,#5A5A5A,#C8B478,#32321E,#96785A,#B43232,#5A5A5A,Custom,FALSE,,0,
Post Apocalyptic,#282823,#E6E6D2,#5A5046,#D2C8BE,#D2691E,#808000,#696969,#9ACD32,#8B4513,#BC8F8F,#9ACD32,#D2691E,Custom,FALSE,,0,
Sci Fi Space,#0A1423,#F0F5FF,#1E3C5A,#C8DCF0,#00CCFF,#3399FF,#C0C0C0,#00FFCC,#FFFFFF,#66B2FF,#3399FF,#00CCFF,Custom,FALSE,,0,
SciFi,#14141E,#F0F5FA,#46465A,#BEC8DC,#00FFFF,#0080FF,#00FF80,#8000FF,#FF00FF,#C0C0C0,#0080FF,#00FFFF,Custom,FALSE,,0,
Cartoon Platformer,#282828,#FFFFFF,#646464,#E6E6E6,#FF0000,#0000FF,#FFFF00,#00FF00,#FFA500,#FFC0CB,#0000FF,#FF0000,Custom,FALSE,,0,
Pixel Art,#000000,#FFFFFF,#404040,#C0C0C0,#FF0000,#00FF00,#0000FF,#FFFF00,#FFA500,#800080,#0000FF,#FF0000,Custom,FALSE,,0,
Cyberpunk,#14141E,#282837,#460082,#6400FF,#FF1493,#00FFFF,#FFFF00,#FF69B4,#00BFFF,#8A2BE2,#FF69B4,#00FFFF,Custom,FALSE,,0,
Disgaea,#32004B,#FFF5E6,#781450,#FFD2BE,#FF3232,#FFBE00,#0078FF,#C864FF,#FF82C8,#5A008C,#0066CC,#CC6699,Custom,FALSE,,0,
Neon Grid,#050505,#E6FFFA,#191919,#C8FFFF,#00FFFF,#FF00FF,#FFFF00,#00FF7F,#FF69B4,#4B0082,#00FFFF,#FF00FF,Custom,FALSE,,0,
Synthwave,#0F0028,#FFC8E6,#320050,#FFA0B4,#FF1493,#FF8C00,#FF00FF,#00FFFF,#8000FF,#FF69B4,#FF1493,#00FFFF,Custom,FALSE,,0,
Techno,#0A0A0A,#1E1E1E,#00FF00,#32FF64,#00FFFF,#FF00FF,#FF69B4,#0080FF,#32CD32,#FFFF00,#00FFFF,#FF00FF,Custom,FALSE,,0,
Vaporwave,#26004D,#FFF0F5,#800080,#FFB6C1,#FF69B4,#00FFFF,#FF1493,#9370DB,#FFB6C1,#00CED1,#FF1493,#00FFFF,Custom,FALSE,,0,
Green'n'Purple,#000000,#FFFFFF,#4B4B4B,#E6E6E6,#4CAF50,#81C784,#9C27B0,#BA68C8,#1B5E20,#6A1B9A,#4CAF50,#9C27B0,Custom,FALSE,,0,
Pastel,#555555,#FFFFFF,#787878,#F5F5F5,#FFB6C1,#B0E0E6,#DDA0DD,#FFE4B5,#98FB98,#FFDEAD,#BA55D3,#8A2BE2,Custom,FALSE,,0,
Tropical,#032D2B,#F0F9F2,#074E47,#BEF3DD,#00A86B,#FFC300,#FF5733,#FF917D,#40E0D0,#28A745,#007B53,#FF4500,Custom,FALSE,,0,
Retro Terminal,#000000,#00FF00,#008000,#C0FFC0,#00FF00,#80FF80,#00C800,#3CFF3C,#1E961E,#00FF80,#00FF00,#00C800,Custom,FALSE,,0,
Neon City,#000000,#F0F8FF,#301934,#20B2AA,#FF1493,#00FFFF,#FFFF00,#00FF7F,#8A2BE2,#FF4500,#00FFFF,#FF1493,Custom,FALSE,,0,
MinimalMonochrome,#000000,#FFFFFF,#282828,#DCDCDC,#646464,#969696,#505050,#C8C8C8,#3C3C3C,#B4B4B4,#505050,#787878,Custom,FALSE,,0,
Rose Gold,#463430,#FFFAFA,#B76E79,#FFE4E1,#FFC0CB,#CD5C5C,#E9967A,#FFB6C1,#DA70D6,#BC8F8F,#C71585,#8B008B,Custom,FALSE,,0,
Emerald Night,#003333,#F0FFF0,#228B22,#98FB98,#008000,#00FF7F,#3CB371,#00FA9A,#32CD32,#2E8B57,#00FF7F,#228B22,Custom,FALSE,,0,
Royal Velvet,#140A28,#FAF5FF,#32145A,#EBE1FF,#4B0082,#8A2BE2,#BA55D3,#DDA0DD,#9370DB,#483D8B,#8A2BE2,#BA55D3,Custom,FALSE,,0,
Brick Rust,#321E14,#FFFAF0,#503228,#F5DEB3,#B7410E,#784212,#964B00,#CD5C5C,#8B4513,#FFE4C4,#964B00,#CD5C5C,Custom,FALSE,,0,
Star Wars Jedi,#003366,#FFFFFF,#696969,#D2B48C,#87CEFA,#FFFFE0,#A9A9A9,#D2B48C,#4682B4,#000080,#4682B4,#003366,Custom,FALSE,,0,
Star Wars Jedi 2,#006400,#FFFFFF,#696969,#D2B48C,#32CD32,#98FB98,#A9A9A9,#D2B48C,#228B22,#008000,#2E8B57,#006400,Custom,FALSE,,0,
Star Wars Dark Side,#000000,#F5F5F5,#8B0000,#A9A9A9,#B22222,#696969,#708090,#DC143C,#2F4F4F,#A9A9A9,#B22222,#708090,Brand,TRUE,,0,
Butterfinger,#141414,#FFFAE6,#003399,#FFF096,#FFCC00,#0066CC,#FF8000,#663300,#FFDD55,#996633,#0066FF,#333399,Custom,FALSE,,0,
Snickers,#1E140A,#FAF5F0,#502814,#E6E6E6,#8B4513,#FFFFFF,#C80000,#003399,#F5DEB3,#D2691E,#0000C8,#800000,Custom,FALSE,,0,
Twix,#28140A,#FFF8DC,#783C1E,#FAEBC8,#D4AF37,#FF0000,#D2691E,#FFD700,#8B4513,#F5DEB3,#C80000,#783C1E,Custom,FALSE,,0,
Reeses,#1E0F05,#FFF0DC,#5A2D0F,#FFE6C8,#FF6600,#FFCC00,#8B4513,#FF9933,#CC6600,#663300,#FF8000,#994C00,Custom,FALSE,,0,
Vintage Sepia,#281E14,#F5EBDC,#5A4632,#DCC8AA,#704214,#BE9664,#996515,#CD853F,#B8860B,#8B4513,#654321,#704214,Custom,FALSE,,0,
LuxuryGold,#000000,#FFFFFF,#3C0000,#F0E6D2,#D4AF37,#996515,#8B4513,#FFD700,#800000,#404040,#DAA520,#800000,Custom,FALSE,,0,
Coffeehouse,#23140A,#FFF8E6,#654321,#DEB887,#6F4E37,#8B4513,#D2B48C,#F5DEB3,#A0522D,#502814,#654321,#8B4513,Custom,FALSE,,0,
Ice Cream Shop,#3C1E1E,#FFFFF0,#D26969,#F0FFF0,#98FB98,#FFB6C1,#F5F5DC,#8B4513,#FFDAB9,#CD853F,#FF69B4,#8B4513,Custom,FALSE,,0,
Tropical Fruit,#006400,#FFFFE0,#B22222,#FFEFD5,#FFD700,#DC143C,#FF8C00,#32CD32,#FF69B4,#008080,#008000,#B22222,Custom,FALSE,,0,
ColaClassic,#3C1E0A,#FFFFFF,#8B0000,#C0C0C0,#8B4513,#FF0000,#D3D3D3,#F5F5F5,#696969,#000000,#0000C8,#8B0000,Custom,FALSE,,0,
CottonCandy,#321E3C,#FFFAFA,#C71585,#B0E0E6,#FFB6C1,#87CEFA,#D8BFD8,#FF69B4,#ADD8E6,#DDA0DD,#FF69B4,#C71585,Custom,FALSE,,0,
Calm Serene,#3C4F41,#FFFDF0,#87CEEB,#E6E6FA,#B0C4B0,#87CEEB,#F5F5DC,#E6E6FA,#CAE6C9,#C8D2FA,#6495ED,#7B68EE,Custom,FALSE,,0,
High Energy,#000000,#FFFFFF,#0047AB,#FFFF00,#FF5F1F,#0047AB,#FFFF00,#000000,#FF8C00,#000080,#FF4500,#800000,Custom,FALSE,,0,
Dark Academia,#800020,#F5DEB3,#228B22,#D2B48C,#800020,#228B22,#F5DEB3,#36454F,#8B4513,#D2B48C,#8B0000,#36454F,Custom,FALSE,,0,
Ocean Breeze,#008080,#F4E1C1,#40E0D0,#8B6D5C,#008080,#40E0D0,#F4E1C1,#8B6D5C,#20B2AA,#5F9EA0,#00CED1,#008080,Custom,FALSE,,0,
Midnight Blue,#0B1026,#DDE7FF,#141B33,#C7D8FF,#1E3A8A,#3B82F6,#60A5FA,#93C5FD,#BFDBFE,#E0F2FE,#2563EB,#1E40AF,Custom,FALSE,,0,
Desert Sand,#6B4F2F,#FFF3D9,#8B6A3B,#FFE8B3,#C49A6C,#E5C07B,#F2D7A0,#FCEFD2,#D4A679,#B58863,#A66D3B,#C27A2C,Custom,FALSE,,0,
Neon Dream,#1A1A1A,#F5F5F5,#262626,#E8E8E8,#FF007F,#FF00FF,#7F00FF,#00FFFF,#00FF7F,#7FFF00,#00B2FF,#0086CC,Custom,FALSE,,0,
Forest Grove,#0F2A19,#DFF5E3,#1A3F26,#C3EBD1,#2E8B57,#4CAF50,#81C784,#A5D6A7,#66BB6A,#388E3C,#2E7D32,#145A32,Custom,FALSE,,0,
Firestorm,#2B0A0A,#FFE5E5,#4A0F0F,#FFCCCC,#FF3B3B,#FF7A00,#FFA800,#FFD000,#FF9124,#FF5E24,#C62828,#8E0000,Custom,FALSE,,0,
Royal Indigo,#1A1037,#EFE6FF,#281C52,#D7C7FF,#5A3EEC,#7C5BFF,#A289FF,#C4B5FD,#9C74FF,#6635FF,#4338CA,#312E81,Custom,TRUE,,0,
Golden Mist,#3A2F10,#FFF9DB,#524618,#F7E8AA,#D4AF37,#F2D479,#F9E7B1,#FFFBDB,#CFB465,#A68C44,#8C7330,#B8860B,Custom,FALSE,,0,
Ocean Wind,#082C36,#D9F7FF,#0E4756,#BFEFFF,#2CA6C8,#4DC7E8,#72DDF2,#A9F0FF,#66C0C8,#3398A0,#007C91,#005B66,Custom,FALSE,,0,
Bubblegum Pop,#2A0E24,#FFE3F7,#45163E,#FFC4EC,#FF5DB9,#FF85CE,#FFA3DF,#FFC2EF,#F54291,#E01E7A,#C2185B,#880E4F,Custom,FALSE,,0,
Molten Lava,#3A0A00,#FFE2D9,#641200,#FFC4B8,#FF4500,#FF6A33,#FF8E66,#FFB199,#D63A00,#A82800,#7F1D00,#5C1300,Custom,FALSE,,0,
